step,loss,param_0,param_1,grad_param_0,grad_param_1
0,0.020227207478450294,0.9525265251966383,1.1585636240265538,0.0096655837318534,0.0072949898427528085
1,0.02021174846024979,0.9510331143488628,1.1572474998492297,0.00605049049648683,-0.00014144553794423215
2,0.020199777050213526,0.9487377275295384,1.157173314993419,0.004482178002447786,-0.003415862053707657
3,0.02016481863338651,0.9384436747732042,1.159039102210129,-0.0015546672020069223,-0.01588549777897143
4,0.020115518354225332,0.9269276910946215,1.1635207951468622,-0.003647898613135784,-0.020056985892748763
5,0.020072447803681347,0.9221979988859538,1.176274024995658,0.013862982631539105,0.015439452543850232
6,0.019916259290404515,0.9,1.1817618395871163,0.005322416598100345,-0.001286554707624358
7,0.019915433563137446,0.9,1.182158398880135,0.005970446301129533,-4.901015952620772e-05
8,0.01991533577398621,0.9,1.1822369230603043,0.006058889996323455,0.00019213044706810779
9,0.01991533577397225,0.9,1.1822369230590133,0.006058889996590439,0.00019213044735414807
