step,loss,param_0,param_1,grad_param_0,grad_param_1
0,0.017687948374698653,0.9960017659595852,1.2385323227758716,0.020722861905753745,0.047115972779904466
1,0.016802066297692594,0.9816716921135876,1.2078026199426113,0.008718369508453932,0.028779374391615483
2,0.016580668858348108,0.9780664734481334,1.187033286234101,-0.0028915258784168734,0.006442283387269739
3,0.016560301818188898,0.9814836320005133,1.1797337590159758,-0.005559848270423889,0.0003441629748014716
4,0.01652604886032167,0.9902959582289342,1.1723502974860665,-0.006655263314517141,-0.0020257934182830208
5,0.016502467543974643,1.0003997616841103,1.1629090320770754,-0.010166812768863137,-0.009158086915957863
6,0.016328860949943298,1.0408549653560286,1.1407114041750273,-0.013539965636436802,-0.01757486491117178
7,0.016203366824664524,1.05,1.1421768027277546,-0.010230478236020333,-0.010287745854342032
8,0.01615689189648546,1.05,1.1498568499617445,-0.005214162725628175,0.0016578293231602889
9,0.0161568919169675,1.05,1.1498568499617445,-0.005214163040953363,0.0016578284988409088
