step,loss,param_0,param_1,grad_param_0,grad_param_1
0,0.11736780867008141,0.9618264305836884,1.1913910175391396,-0.0007599840837068991,0.10475102206468666
1,0.11705316927420946,0.962268901094466,1.1871506179971822,-0.022901122678684813,0.05994809916956943
2,0.11671252055898791,0.9664847797195028,1.179167180901287,-0.058678703134100466,-0.015186993214937255
3,0.11646437985718897,0.9724039495413036,1.1746697956038794,-0.06858522177825158,-0.037903224481207864
4,0.1146509415815864,1.0335938399679847,1.1376178325848005,-0.12351846927865917,-0.18387008675963123
5,0.11345859512587368,1.05,1.133679318042223,-0.09292209866758219,-0.11820209693652141
6,0.11304311259996684,1.05,1.1391468941280165,-0.05314282113064442,-0.025679427338133585
7,0.1130149622014955,1.05,1.1406644057110729,-0.043127173887365595,-0.0028048767408730066
8,0.11301386467437527,1.05,1.1408504829380428,-0.0419268434850524,-7.542753973832986e-05
9,0.11301384148795501,1.05,1.1408556251284254,-0.04189375721880795,-2.292662302574855e-07
