step,loss,param_0,param_1,grad_param_0,grad_param_1
0,0.060747144841472096,0.9852237402117461,1.2732813734381374,0.15513398881202445,0.2430597633422534
1,0.05748653751645068,0.9780079553259193,1.256984431802266,0.11943886307718916,0.18762845311552917
2,0.05426287193475619,0.9667628589474953,1.2312135981536925,0.0417600822863004,0.05438583766549866
3,0.05398694810071623,0.9604593761203906,1.2208451611488773,-0.004123060142194736,-0.03006936137458288
4,0.053959350530220315,0.9610082491821497,1.2245462701471834,0.010120747767419579,-0.003337432726524295
5,0.0538908668705644,0.9544052917175121,1.2293359447663346,0.013865351781394527,0.00435910509730441
6,0.05385737776255884,0.9,1.2735586176357776,0.053092727246343355,0.07598485377233614
7,0.05345290857017508,0.9,1.264040929406549,0.024077959478922262,0.02746124194452263
8,0.053374332856220175,0.9,1.2586545303037198,0.005943643261063912,-0.003735615795197822
9,0.05337433344786391,0.9,1.2586545303037198,0.005943608078125295,-0.0037356745312604866
