step,loss,param_0,param_1,grad_param_0,grad_param_1
0,0.011536187819399748,0.9850932951242097,1.2253350375511496,0.033631313815592416,0.06908809174312593
1,0.010771785779902447,0.9764104763555476,1.2069936314762753,0.001218800025910376,0.01118682547846714
2,0.010759232599413304,0.9761932043836838,1.2033888329768547,-0.007857441719428055,-0.006448159432981014
3,0.0107530984409465,0.9770400342195319,1.2043678803127948,-0.0036229654122941534,0.0018086326624412283
4,0.010734318950628405,0.9822060053230037,1.2025041188197654,-0.0007426821436077053,0.007060537512052541
5,0.010602138955328905,1.018623616525688,1.1857678666747695,0.0003900310049404622,0.008115466103637028
6,0.01058943845976798,1.0196384935621239,1.1828835208022879,-0.0031997664142985856,0.0009813210851964192
7,0.010588607498781103,1.019761375338989,1.1824396489925502,-0.003620630486976976,0.00046474628977675715
8,0.010588375484195531,1.0198023752587824,1.18226007683783,-0.003840279523954289,7.558752563467013e-06
9,0.010588178347591726,1.0198644797538503,1.1820300419478984,-0.0044033353520018595,-0.0010011173428076247
10,0.010583373505668514,1.0242678151058522,1.1830311592907061,0.001384820301006083,0.009585885587195715
11,0.010575926947009408,1.0240302655748834,1.1816786092886677,-0.0013172220578687361,0.0042752750930391634
12,0.01056373387614312,1.0266893117456937,1.1792957432781717,-0.002946693467447463,0.0015278051892451275
13,0.010545320784233335,1.0337247530803926,1.1723118642719927,-0.008213685439221786,-0.00870715670423444
14,0.010485378834396467,1.05,1.1643208489535597,-0.007488451586918327,-0.008283254514322241
15,0.01047659298123918,1.05,1.1674190275757879,-0.0029093352284579954,0.0010521807942396781
16,0.010476289463254077,1.05,1.1670698372128658,-0.003214635879336193,0.0003749159338411019
17,0.01047623792470284,1.05,1.1668765346533234,-0.003534703830672511,-0.0002033758971165648
18,0.010476237211970166,1.05,1.1668962081931484,-0.003427251740228841,1.1480961294566862e-06
