step,loss,param_0,param_1,grad_param_0,grad_param_1
0,0.03457160303711344,0.9854503604616123,1.2740786884334887,0.14062542450638937,0.2595434868567589
1,0.031103956273155785,0.9781917947498423,1.2532644731682618,0.10284691469777262,0.20250578064592528
2,0.028065072443369424,0.9702149972419455,1.2184294154825028,0.01371573433821825,0.048127678159198925
3,0.028024304942341666,0.9701537163471143,1.2148016020837853,0.0025289547372085676,0.027216599342203954
4,0.028020150281005594,0.970487921171473,1.21344714045521,-0.0012092850378841386,0.020137578705768634
5,0.028017728016078602,0.9711178498718933,1.2121805465697875,-0.00422148942569767,0.01437862333314093
6,0.02801485789889831,0.972161111361696,1.210738053523652,-0.0071380880748933805,0.008739616173250076
7,0.02801016511875754,0.9738676700164628,1.2088906876973198,-0.010280502540464453,0.002576571373604249
8,0.028007684553381568,0.9829792404377927,1.2006258635977989,-0.022263675278211374,-0.02163348539488394
9,0.0279825740331504,0.9889780386641908,1.1966628522769216,-0.025240482763310375,-0.02822610293889518
10,0.027771031143457733,1.0361364372831143,1.1693696458174576,-0.03768656792748476,-0.06029557953591138
11,0.02754811842306159,1.05,1.164552107594583,-0.030065940402329256,-0.04623629643964802
12,0.02733217161951367,1.05,1.1706173242260158,-0.008760547468449256,-0.0015611796899886437
13,0.027328750414872763,1.05,1.1708292742713493,-0.008059016089018241,-0.0001091617679910735
14,0.02732850356412673,1.05,1.1708452085386363,-0.00800638812922892,-2.827878162400821e-07
